iteration,nodes_num,tau1,tau2,mu,min_community,max_community,generation,best_history,avg_history,nmi_score
1,100,2.0,3.5,0.05,10,20,38,0.2794281986290253,0.24106731261471612,1.0
1,100,2.0,3.5,0.05,10,20,39,0.2855432706114447,0.251191268463834,1.0
1,100,2.0,3.5,0.05,10,20,40,0.3385358788347963,0.262051935971232,1.0
1,100,2.0,3.5,0.05,10,20,41,0.30582071195794674,0.2731522743447914,1.0
1,100,2.0,3.5,0.05,10,20,42,0.32985959370200657,0.28371385271385585,1.0
1,100,2.0,3.5,0.05,10,20,43,0.3326096592540798,0.29457594051617575,1.0
1,100,2.0,3.5,0.05,10,20,44,0.344110926594164,0.3079032545043639,1.0
1,100,2.0,3.5,0.05,10,20,45,0.3536269025708899,0.3208600432019379,1.0
1,100,2.0,3.5,0.05,10,20,46,0.3693952977312739,0.3350145931401316,1.0
1,100,2.0,3.5,0.05,10,20,47,0.3828334727615528,0.3457106937282273,1.0
1,100,2.0,3.5,0.05,10,20,48,0.39754210940328877,0.3601772559277803,1.0
1,100,2.0,3.5,0.05,10,20,49,0.40785563560538907,0.37250157637128695,1.0
1,100,2.0,3.5,0.05,10,20,50,0.4220991646792943,0.3847728464583151,1.0
1,100,2.0,3.5,0.05,10,20,51,0.4250412041603716,0.3962423834733858,1.0
1,100,2.0,3.5,0.05,10,20,52,0.43983412203923133,0.40522601418422005,1.0
1,100,2.0,3.5,0.05,10,20,53,0.44893649564859095,0.4157357439848169,1.0
1,100,2.0,3.5,0.05,10,20,54,0.45844154627976375,0.4242909918965151,1.0
1,100,2.0,3.5,0.05,10,20,55,0.46979766260035705,0.43466516937407135,1.0
1,100,2.0,3.5,0.05,10,20,56,0.4791029354842738,0.44480668381425664,1.0
1,100,2.0,3.5,0.05,10,20,57,0.48997521507323105,0.45334829065165005,1.0
1,100,2.0,3.5,0.05,10,20,58,0.49181535541709853,0.4636444767695938,1.0
1,100,2.0,3.5,0.05,10,20,59,0.5082096168013085,0.4757993763188453,1.0
1,100,2.0,3.5,0.05,10,20,60,0.5158838916705166,0.48495862415562685,1.0
1,100,2.0,3.5,0.05,10,20,61,0.5214495748479817,0.49524394735856364,1.0
1,100,2.0,3.5,0.05,10,20,62,0.5276270773764188,0.5025969702456018,1.0
1,100,2.0,3.5,0.05,10,20,63,0.5406219955299729,0.5105706464058735,1.0
1,100,2.0,3.5,0.05,10,20,64,0.5652570889885002,0.5188797306746245,1.0
1,100,2.0,3.5,0.05,10,20,65,0.5624086953264493,0.5280457366180125,1.0
1,100,2.0,3.5,0.05,10,20,66,0.5666586547465944,0.5375397682578132,1.0
1,100,2.0,3.5,0.05,10,20,67,0.5724069472711608,0.547137184881819,1.0
1,100,2.0,3.5,0.05,10,20,68,0.5901262969945935,0.5558789128344717,1.0
1,100,2.0,3.5,0.05,10,20,69,0.5891258474946621,0.5627316797562711,1.0
1,100,2.0,3.5,0.05,10,20,70,0.5945791556892956,0.5694127938917954,1.0
1,100,2.0,3.5,0.05,10,20,71,0.5983312315049507,0.5748007685200215,1.0
1,100,2.0,3.5,0.05,10,20,72,0.6086603653435553,0.5829573349648516,1.0
1,100,2.0,3.5,0.05,10,20,73,0.6181560513928255,0.5882697218094869,1.0
