generation,best_fitness,avg,time
89,0.39981919789612097,0.39464579224194596,162.026971ms
90,0.39981919789612097,0.39089414858645616,162.026971ms
91,0.39981919789612097,0.38954224194608794,162.026971ms
92,0.39981919789612097,0.39207347140039434,162.026971ms
93,0.39981919789612097,0.38519477317554235,162.026971ms
94,0.39981919789612097,0.3882108809993424,162.026971ms
95,0.39981919789612097,0.39608809993425365,162.026971ms
96,0.39981919789612097,0.3971071663379354,162.026971ms
97,0.39981919789612097,0.3825690335305719,162.026971ms
98,0.39981919789612097,0.3992274819197895,162.026971ms
99,0.39981919789612097,0.39098454963839563,162.026971ms
100,0.39981919789612097,0.39188445101906627,162.026971ms
101,0.39981919789612097,0.3915968113083496,162.026971ms
102,0.39981919789612097,0.3949580867850097,162.026971ms
103,0.39981919789612097,0.3876232741617356,162.026971ms
104,0.39981919789612097,0.3884204470742931,162.026971ms
105,0.39981919789612097,0.3912557527942142,162.026971ms
106,0.39981919789612097,0.3926857330703484,162.026971ms
107,0.39981919789612097,0.3979289940828401,162.026971ms
108,0.39981919789612097,0.39123109796186706,162.026971ms
109,0.39981919789612097,0.39437458908612744,162.026971ms
110,0.39981919789612097,0.3961661735700196,162.026971ms
111,0.39981919789612097,0.3889710716633792,162.026971ms
112,0.39981919789612097,0.39536078238001304,162.026971ms
113,0.39981919789612097,0.39514299802761327,162.026971ms
114,0.39981919789612097,0.39203648915187367,162.026971ms
115,0.39981919789612097,0.38920940170940155,162.026971ms
116,0.39981919789612097,0.392361111111111,162.026971ms
117,0.39981919789612097,0.3945759368836291,162.026971ms
118,0.39981919789612097,0.3884944115713346,162.026971ms
119,0.39981919789612097,0.395714168310322,162.026971ms
